keys,zh_TW,zh_CN,en
CODEX_SKIN_FRAME_ANIM,高階逐幀造型,,
CODEX_SKIN_TRANSFORM,人形 / 變身造型,,
CODEX_WEAPONS_SUMMARY_FMT,武器解鎖 / 製作：%d / %d,,
CODEX_WEAPON_UPGRADE_HINT,升級抽選資訊會套用在每一把已取得武器上；全升滿後會啟用滿級特效。,,
CODEX_WEAPON_STATS_FMT,類型：%s　傷害 %.1f　頻率 %.1f　範圍 %.1f,,
CODEX_WEAPON_CRIT_PREFIX,爆擊：,,
CODEX_WEAPON_ATTACK_DETAIL_FMT,攻擊方式：%s,,
CODEX_WEAPON_MAX_EFFECT_FMT,滿級特效：%s,,
CODEX_WEAPON_UPGRADES_PREFIX,升級抽選：,,
CODEX_WEAPON_UPGRADE_LINE_FMT,%s：最多 %d 階，每階 %s,,
CODEX_UPGRADE_VALUE_PERCENT_FMT,+%d%%,,
CODEX_UPGRADE_VALUE_FLAT_FMT,+%d,,
CODEX_LOCKED_WEAPON_HINT,尚未解鎖或製作。取得後會顯示完整數值與滿級特效。,,
CODEX_WEAPON_KIND_MELEE,近戰扇形,,
CODEX_WEAPON_KIND_PROJECTILE,投射物,,
CODEX_WEAPON_KIND_ORBIT,環繞,,
CODEX_WEAPON_KIND_AURA,光環,,
CODEX_WEAPON_KIND_PUDDLE,投擲區域,,
CODEX_WEAPON_KIND_AXE,斧擊,,
CODEX_WEAPON_DETAIL_SWORD_FMT,向前方 %.0f 度扇形揮砍，基礎距離 %.0f；滿級後周圍目標越少傷害越高。,,
CODEX_WEAPON_DETAIL_SPEAR_FMT,向前方 %.0f 度窄扇形刺擊，基礎距離 %.0f；滿級後周圍目標越多傷害越高。,,
CODEX_WEAPON_DETAIL_AXE_FMT,近距離斧擊半徑 %.0f；滿級後會投出最遠 %.0f 距離並返回的斧頭。,,
CODEX_WEAPON_DETAIL_MAGIC_BULLET_FMT,發射 %d 顆魔彈，命中時造成半徑 %.0f 的爆炸傷害；滿級後爆炸範圍受攻擊範圍加成。,,
CODEX_WEAPON_DETAIL_BOW_FMT,一次射出 %d 支箭，散射角 %.0f 度；滿級後投射物附加貫穿。,,
CODEX_WEAPON_DETAIL_MELODY_FMT,一次發射 %d 枚飛鏢並以波形飛行；滿級後命中會附加易傷。,,
CODEX_WEAPON_DETAIL_CLAW_FMT,向前方 %.0f 度爪擊並可二段命中；滿級後命中附加流血與吸血效果。,,
CODEX_WEAPON_DETAIL_SHARD_FMT,%d 片碎刃環繞自身，旋轉速度 %.1f；滿級後環繞速度增加。,,
CODEX_WEAPON_DETAIL_FLAME,在身邊形成火焰光環，持續灼燒範圍內敵人；滿級後燃燒傷害加倍。,,
CODEX_WEAPON_DETAIL_LIGHTNING_FMT,發射高速閃電並可連鎖 %d 次；滿級後反彈次數額外增加。,,
CODEX_WEAPON_DETAIL_ICE,發射寒冰投射物，命中會讓敵人緩速；滿級後對緩速敵人造成更高傷害。,,
CODEX_WEAPON_DETAIL_POISON_FMT,投擲半徑 %.0f、持續 %.1f 秒的毒池造成中毒；滿級後中毒敵人攻擊力降低 %d%%。,,
CODEX_WEAPON_DETAIL_HOLY,在周圍形成聖光光環造成傷害並回復自身；滿級後回血效果支援隊友。,,
CODEX_WEAPON_DETAIL_PROJECTILE,發射投射物攻擊前方敵人。,,
CODEX_WEAPON_DETAIL_AURA,在自身周圍形成持續作用的光環。,,
CODEX_WEAPON_DETAIL_PUDDLE,向目標位置投擲持續區域，停留期間反覆造成效果。,,
CODEX_WEAPON_DETAIL_GENERIC,依武器類型造成傷害。,,
CODEX_ICON_PLACEHOLDER,圖示位,,
CODEX_ICON_PLACEHOLDER_NOTE,圖示先保留佔位，後續可替換為正式圖示資源。,,
CODEX_ABILITIES_SUMMARY_FMT,能力項目：%d,,
CODEX_ABILITY_FIELD_FMT,作用屬性：%s,,
CODEX_ABILITY_STAGES_PREFIX,各階段數值：,,
CODEX_ABILITY_STAGE_PERCENT_FMT,Lv %d：累積 +%d%%,,
CODEX_ABILITY_STAGE_FLAT_DECIMAL_FMT,Lv %d：累積 +%.1f,,
CODEX_ABILITY_FIELD_HP,血量上限,,
CODEX_ABILITY_FIELD_SPEED,移動速度,,
CODEX_ABILITY_FIELD_RATE,全武器攻速,,
CODEX_ABILITY_FIELD_PICKUP,拾取範圍,,
CODEX_ABILITY_FIELD_XP,經驗值獲得,,
CODEX_ABILITY_FIELD_ARMOR,受傷減免,,
CODEX_ABILITY_FIELD_REGEN,每秒回復,,
CODEX_ABILITY_FIELD_DAMAGE,全武器傷害,,
CODEX_ARMAMENTS_SUMMARY_FMT,武裝製作：%d / %d,,
CODEX_ARMAMENT_EFFECT_FMT,能力：%s,,
CODEX_ARMAMENT_EFFECT_WEAPON_FMT,進場武器「%s」等級 +1,,
CODEX_ARMAMENT_EFFECT_COMMON_FMT,進場「%s」等級 +1,,
CODEX_ARMAMENT_EFFECT_ATK_FMT,ATK +%.1f,,
CODEX_ARMAMENT_EFFECT_SPD_FMT,SPD +%.1f,,
CODEX_ARMAMENT_EFFECT_NONE,無額外能力,,
CODEX_ARMAMENT_COST_FMT,製作需求：%s,,
CODEX_ARMAMENT_COST_MATERIAL_FMT,%s x%d,,
CODEX_LOCKED_ARMAMENT_HINT,尚未製作。到村莊鐵匠工坊製作後會完整收錄。,,
CODEX_LOCKED_ARMAMENT_RECIPE_HINT,尚未取得製作書。各關完成偶發事件可獲得對應武裝製作書（例：第一關石矛、第二關銅斧／骨魔杖、第三關布甲）。,,
CODEX_COMING_SOON,此分頁先保留框架，下一階段會補上對應資料與解鎖/遭遇紀錄。,,
CODEX_MONSTERS_SUMMARY_FMT,圖鑑已解鎖 %d / %d 種怪物。,,
CODEX_MONSTERS_HINT,頭像為圖集「待機列」左上裁切；殭屍第 1 列為出土動畫，圖鑑與戰鬥待機使用第 2 列。擊倒怪物後解鎖圖鑑；設定內「怪物圖鑑全解鎖」為除錯用。,,
CODEX_MONSTER_LINE_FMT,梯度 %d　%s,,
CODEX_MONSTER_TAG_NORMAL,一般,,
CODEX_MONSTER_TAG_ELITE,菁英,,
CODEX_MONSTER_TAG_BOSS,Boss,,
CODEX_MONSTER_TAG_STAGE_BOSS,關底 Boss,,
CODEX_MONSTER_DETAIL_TIER_FMT,梯度：%d,,
CODEX_MONSTER_DETAIL_TAGS_FMT,標籤：%s,,
CODEX_MONSTER_STAT_REF_FMT,參考難度係數 %s（圖鑑估算用）,,
CODEX_MONSTER_STAT_HP,HP,,
CODEX_MONSTER_STAT_DMG,攻擊,,
CODEX_MONSTER_STAT_SPD,移速,,
CODEX_MONSTER_STAT_XP,經驗,,
CODEX_MONSTER_STAT_RANGED_DMG,遠程傷害,,
CODEX_MONSTER_STAT_SCALE_NOTE,※ 實戰數值會隨關卡進行時間繼續成長。,,
CODEX_MONSTER_DETAIL_DEF_FMT,防禦減傷：約 %d%%（受傷時乘算）,,
CODEX_MONSTER_DETAIL_RANGED_FMT,遠程：射程 %.0f（最小 %.0f）　寬 %.0f,,
CODEX_MONSTER_DETAIL_DROPS_TITLE,可能掉落,,
CODEX_MONSTER_DROP_LINE_FMT,· %s　機率 %d%%　數量 %d～%d,,
CODEX_LOCKED_MONSTER_HINT,尚未在圖鑑解鎖此怪物。請在「設定 → 帳號／測試」使用「怪物圖鑑全解鎖」，或之後透過遭遇解鎖。,,
CSEL_TITLE_BATTLE,選擇你的角色,,
CSEL_TITLE_VILLAGE,選擇村莊角色形象,,
CSEL_PLAYER_FMT,玩家 %d,,
CSEL_PLAYER_1,玩家 1,,
CSEL_PLAYER_2,玩家 2,,
CSEL_READY_DONE,準備完成 — 開始！,,
CSEL_READY_WAITING,等待對方確認…,,
CSEL_PASSIVE_LBL,被動,,
CSEL_SKILL_LBL,技能,,
CSEL_EQUIPMENT_LBL,武裝,,
CSEL_ARMAMENT_LBL,武裝,,
CSEL_RUNE_LBL,符文,,
CSEL_SLOT_EMPTY,—,,
CSEL_NONE,無,,
CSEL_PASSIVE_NONE_DESC,尚未選擇被動。,,
CSEL_SKILL_NONE_DESC,尚未選擇技能。,,
CSEL_HINT_LR,← / →：切換選項　↑ / ↓：切換欄位（角色 / 被動 / 技能）,,
CSEL_HINT_LR_ARMAMENT,← / →：切換選項　↑ / ↓：切換欄位（角色 / 被動 / 技能 / 武裝）,,
CSEL_TOUCH_FOCUS_CHAR,角色,,
CSEL_TOUCH_FOCUS_PASSIVE,被動,,
CSEL_TOUCH_FOCUS_SKILL,技能,,
CSEL_TOUCH_FOCUS_ARMAMENT,武裝,,
CSEL_TOUCH_READY,出發,,
CSEL_TOUCH_UNREADY,解除,,
CSEL_TOUCH_BACK,← 主選單,,
CSEL_HINT_DUO,P1：WASD + Space／A 確認 + Q／X 取消　　P2：方向鍵 + Enter／A 確認 + RShift／X 取消,,
CSEL_HINT_SOLO,P1：WASD + Space／A 確認 + Q／B 取消,,
CSEL_STATS_FMT,HP %d   ATK %d   DEF %d   SPD %.1f\n初始武器：%s,,
CSEL_NAME_FMT,%s [%s],,
CSEL_NAME_FOCUS_FMT,◀ %s ▶,,
CSEL_SKILL_CD_DESC_FMT,(冷卻 %d 秒)  %s,,
CSEL_ROW_FOCUS_MULTI_FMT,%s：◀ %s ▶,,
CSEL_ROW_FOCUS_FMT,▶ %s：%s,,
CSEL_ROW_FMT,%s：%s,,
PAUSE_TITLE,暫停 - PAUSE,,
PAUSE_BTN_RESUME,繼續 (ESC),,
PAUSE_BTN_MENU,回主選單,,
PAUSE_HEADER_FMT,[color=#ffd24d]時間：[/color]%02d:%02d    [color=#ffd24d]隊伍等級：[/color]Lv [b]%d[/b]    [color=#ffd24d]經驗：[/color]%d / %d,,
PAUSE_PLAYER_HEADER_FMT,[font_size=20]P%d  [color=#%s]%s[/color][/font_size]    HP %d / %d    擊殺 %d,,
PAUSE_WEAPON_CAP_FMT,武器格  %d / %d%s,,
PAUSE_WEAPON_FULL_NOTE,  （已滿：之後選新武器會強化既有武器）,,
PAUSE_SLOT_EMPTY,空,,
PAUSE_WEAPON_NAME_LV_FMT,%s\nLv%d,,
PAUSE_STACKS_PREFIX,共通強化：,,
STAT_HP_FMT,HP +%d%%,,
STAT_SPD_FMT,SPD +%d%%,,
STAT_ATK_FMT,ATK +%d%%,,
STAT_RATE_FMT,攻速 +%d%%,,
STAT_CRIT_RATE_FMT,爆率 +%d%%,,
STAT_CRIT_DMG_FMT,爆傷 +%d%%,,
STAT_PICKUP_FMT,拾取 +%d%%,,
STAT_XP_FMT,經驗 +%d%%,,
STAT_DR_FMT,減傷 %d%%,,
STAT_REGEN_FMT,回復 %.1f/s,,
HUD_KILLS_FMT,擊殺 %d,,
HUD_TIME_FMT,Lv.%d   %02d:%02d,,
HUD_BOSS_TIMER_FMT,   Boss %02d,,
HUD_PLAYER_LV_FMT,P%d  %s,,
GAME_BOSS_NAME_FALLBACK,Boss,,
GAME_BOSS_WARN_FMT,⚠  Boss 即將降臨：%s  ⚠,,
GAME_BOSS_APPEAR_FMT,%s 出現了！,,
GAME_VICTORY,★ 勝利 ★,,
GAME_DEFEAT,全員陣亡,,
GAME_SUBTITLE_FMT,%s    時間 %02d:%02d,,
GAME_TEAM_LINE_FMT,[color=#ffd24d]隊伍等級：[/color]Lv [b]%d[/b]    [color=#ffd24d]金幣：[/color]+%d   （目前 %d）,,
GAME_ACHIEVEMENT_UNLOCK_FMT,[color=#7dff9d]成就解鎖角色：[/color]%s,,
GAME_PLAYER_HEADER_FMT,[font_size=22][color=#%s]P%d  %s[/color][/font_size]    %s    被動：%s    技能：%s,,
GAME_PLAYER_STATS_FMT,  [color=#cfe6ff]擊殺[/color] %d    [color=#ffb3b3]造成傷害[/color] %d    [color=#ff8a7a]承受傷害[/color] %d    [color=#cfffcf]彈珠分數[/color] %d,,
GAME_WEAPONS_PREFIX,[color=#ffd24d]武器：[/color],,
GAME_WEAPON_ITEM_FMT,[color=#ffe7a3]%s[/color] Lv%d,,
GAME_ABILITIES_PREFIX,[color=#ffd24d]能力：[/color],,
GAME_ABILITIES_NONE,[color=#888]（無）[/color],,
GAME_ABILITY_ITEM_FMT,[color=#a8e8ff]%s[/color] x%d,,
GAME_STACKS_PREFIX,  [color=#cfcfcf]強化：,,
GAME_STATUS_ALIVE,存活,,
GAME_STATUS_DEAD,陣亡,,
GAME_HINT_BACK,按 ESC 回主選單,,
START_REWARD_TITLE,戰鬥準備,,
START_REWARD_HINT,確認初始武器與武裝效果後開始戰鬥。,,
START_REWARD_SOURCE_CHARACTER,初始武器,,
START_REWARD_COMMON_FMT,%s｜%s：通用能力「%s」（%d/%d）,,
START_REWARD_WEAPON_NEW_FMT,%s｜%s：獲得「%s」,,
START_REWARD_WEAPON_UP_FMT,%s｜%s：「%s」升級 %s（%d/%d）,,
START_REWARD_WEAPON_MAX_FMT,%s｜%s：「%s」已滿級，本次未再提升,,
START_REWARD_NOOP_FMT,%s｜%s：無變化,,
PINBALL_TITLE,命運的彈珠台,,
PINBALL_ENERGY_FLYING,能量炮彈飛行中…,,
PINBALL_DECIDED_FMT,%s 已決定！,,
PINBALL_LAUNCH_HINT_FMT,%s 按 [%s] 發球,,
PINBALL_FLYING_FMT,%s 飛行中…,,
PINBALL_PNAME_FMT,P%d,,
PINBALL_SCOREBOARD_PREFIX,彈針得分（破針加分／每20分隨機升級一格）　　,,
PINBALL_SCOREBOARD_ITEM_FMT,P%d  %d,,
PINBALL_SLOT_GOLD,金幣,,
PINBALL_SLOT_GOLD_DESC,+50 金幣,,
PINBALL_SLOT_NEW_WEAPON_DESC,獲得新武器（武器格已滿者改為強化既有）,,
PINBALL_SLOT_UPGRADE_NAME_FMT,強化 %s,,
PINBALL_SLOT_UPGRADE_DESC_FMT,升級 %s,,
PINBALL_SLOT_DESTROYED,✕ 已摧毀,,
PINBALL_DOUBLE_FMT,雙倍！%s,,
PINBALL_JUDGMENT_DESTROY_FMT,重罰封印！%s,,
PINBALL_JUDGMENT_NO_REWARD_FMT,天降重罰封印「%s」，本回合不獲得獎勵。,,
PINBALL_JUDGMENT_LIMIT,本場天降重罰已達永久摧毀上限。,,
PINBALL_NOTICE_FULL_FMT,P%d 武器格已滿 → 強化「%s」,,
PINBALL_TOUCH_LAUNCH_FMT,P%d 發球,,
PINBALL_TOUCH_SKILL_FMT,P%d 技能,,
PINBALL_REWARD_TITLE,獲得獎勵,,
PINBALL_REWARD_OK,確認,,
PINBALL_REWARD_HINT,Enter／滑鼠點「確認」／手把 A（South）,,
PINBALL_REWARD_WEAPON_NEW_FMT,%s：獲得武器「%s」,,
PINBALL_REWARD_WEAPON_UP_FMT,%s：「%s」%s（%d/%d）,,
PINBALL_REWARD_WEAPON_MAX_FMT,%s：「%s」的武器強化已全滿，本次未再提升。,,
PINBALL_REWARD_COMMON_FMT,%s：通用能力「%s」（%d/%d）,,
PINBALL_REWARD_GOLD_FMT,%s：金幣 +%d,,
PINBALL_REWARD_NOOP_FMT,%s：%s — %s,,
WEAPON_MAX_UNLOCK_TITLE,武器滿級強化解鎖,,
WEAPON_MAX_UNLOCK_BODY_FMT,%s\n「%s」\n%s,,
BLACKSMITH_RESCUE_NAME,被困的鐵匠,,
BLACKSMITH_RESCUE_HINT,靠近觸發救援事件,,
MERCHANT_RESCUE_NAME,被困的雜貨商,,
MERCHANT_RESCUE_HINT,靠近觸發救援事件,,
RANDOM_EVENT_NAME,偶發事件,,
RANDOM_EVENT_HINT,靠近觸發偶發事件,,
BLACKSMITH_AMBUSH_NOTICE,鐵匠被怪群包圍！擊退敵人才能解救。,,
BLACKSMITH_INCIDENT_AMBUSH_NOTICE,附近出現怪群騷動！擊退敵人完成偶發事件。,,
BLACKSMITH_AMBUSH_HINT,擊退包圍的怪群,,
BLACKSMITH_EVENT_PROGRESS_FMT,救援中：剩餘 %d 隻怪物,,
RANDOM_EVENT_PROGRESS_FMT,事件中：剩餘 %d 隻怪物,,
BLACKSMITH_DODGE_NOTICE,地面開始崩裂！閃避危險區域直到鐵匠脫困。,,
BLACKSMITH_INCIDENT_DODGE_NOTICE,地面開始崩裂！閃避危險區域完成偶發事件。,,
BLACKSMITH_DODGE_HINT,撐過危險區域,,
BLACKSMITH_DODGE_PROGRESS_FMT,閃避中：剩餘 %d 秒,,
BLACKSMITH_RUNNER_NOTICE,稀有怪趁亂逃跑！擊敗牠可取得符文粉塵。,,
BLACKSMITH_RUNNER_HINT,追擊逃跑的稀有怪,,
BLACKSMITH_RUNNER_PROGRESS_FMT,追擊中：稀有怪剩餘 %d 隻,,
BLACKSMITH_RUNNER_DUST_NOTICE_FMT,取得符文粉塵 +%d,,
MATERIAL_DROP_NOTICE_FMT,取得%s +%d,,
EVENT_MATERIAL_PACK_NOTICE_FMT,事件資源包：取得%s +%d,,
BLACKSMITH_RESCUED_NOTICE,鐵匠已獲救！回村莊看看吧。,,
MERCHANT_RESCUED_NOTICE,雜貨商已獲救！回村莊看看吧。,,
BLACKSMITH_INCIDENT_DONE_NOTICE,偶發事件已完成！,,
EVENT_ARMAMENT_BOOK_NOTICE_FMT,取得武裝製作書：%s（可至村莊鐵匠製作）,,
BLACKSMITH_CRAFT_ARMAMENT_LOCKED_FMT,武裝「%s」　需製作書,,
VILLAGE_HINT,← →：移動    ↑：跳躍    ESC：離開村莊,,
VILLAGE_TITLE,村　莊,,
VILLAGE_SUBTITLE,在這裡可以歇歇腳，準備下一場戰鬥。,,
VILLAGE_BLACKSMITH_NAME,鐵匠,,
VILLAGE_BLACKSMITH_INTERACT_HINT,靠近鐵匠：按確認鍵開啟工坊    ESC：離開村莊,,
VILLAGE_MERCHANT_NAME,雜貨商,,
VILLAGE_MERCHANT_INTERACT_HINT,靠近雜貨商：按確認鍵開啟雜貨鋪    ESC：離開村莊,,
VILLAGE_P1_HOUSE_NAME,玩家一的家,,
VILLAGE_P1_HOUSE_INTERACT_HINT,靠近玩家一的家：按確認鍵整理造型與喜愛武裝    ESC：離開村莊,,
VILLAGE_P2_HOUSE_NAME,玩家二的家,,
VILLAGE_P2_HOUSE_INTERACT_HINT,靠近玩家二的家：按 P2 確認鍵整理造型與喜愛武裝,,
P1_HOUSE_TITLE,玩家一的家,,
P1_HOUSE_INTRO,左右切換角色，為每位角色分別設定造型與喜愛武裝。,,
P2_HOUSE_TITLE,玩家二的家,,
P2_HOUSE_INTRO,左右切換角色，為玩家二每位角色分別設定造型與喜愛武裝。,,
HOUSE_FAVORITES_SHARED_HINT,每位角色各自五格；1P 與 2P 全帳號不可重複（例：1P 已選獵弓則 2P 不能再選）。加成為基礎屬性，不含進場武器或共通升級。,,
P1_HOUSE_CHAR_PREV,◀,,
P1_HOUSE_CHAR_NEXT,▶,,
P1_HOUSE_CHAR_NAV_HINT,◀ ▶ 切換角色,,
P1_HOUSE_SKIN_LBL,造型,,
P1_HOUSE_SKINS_TITLE,角色造型,,
P1_HOUSE_FAVORITES_TITLE,喜愛武裝（5 格）,,
P1_HOUSE_FAVORITES_HINT,每位角色各自五格、不可重複；加成為 HP／防禦／ATK／SPD 基礎屬性（不含進場武器或共通升級）。,,
P1_HOUSE_FAVORITE_SLOT_FMT,格 %d,,
P1_HOUSE_SKIN_SAVED_FMT,已儲存「%s」的造型。,,
P1_HOUSE_FAVORITE_SAVED,已儲存喜愛武裝配置。,,
P1_HOUSE_FAVORITE_DUPLICATE,此武裝已被裝備（含另一位玩家或其他格），不可重複。,,
P1_HOUSE_BONUS_PREVIEW_PREFIX,出戰預覽加成：,,
ARMAMENT_FAV_STAT_HP,HP,,
ARMAMENT_FAV_STAT_DEF,防禦,,
ARMAMENT_FAV_STAT_ATK,ATK,,
ARMAMENT_FAV_STAT_SPD,SPD,,
ARMAMENT_FAV_STAT_RATE,攻速,,
ARMAMENT_FAV_STAT_CRIT_RATE,爆率,,
ARMAMENT_FAV_STAT_CRIT_DMG,爆傷,,
ARMAMENT_FAV_STAT_NONE,（無基礎屬性加成）,,
P1_HOUSE_CLOSE,離開,,
HOUSE_SKIN_DEFAULT,預設造型,,
HOUSE_SKIN_WEREWOLF_HUMAN,人形（不變身）,,
HOUSE_SKIN_LOOK_FMT,外觀：%s,,
START_REWARD_SOURCE_HOUSE,房屋喜愛武裝,,
START_REWARD_HOUSE_FAVORITES_FMT,%s｜%s：喜愛武裝 %s,,
START_REWARD_HOUSE_FAVORITES_NONE_FMT,%s｜%s：喜愛武裝（無基礎屬性加成）,,
VILLAGE_TOUCH_LEFT,←,,
VILLAGE_TOUCH_RIGHT,→,,
VILLAGE_TOUCH_JUMP,跳,,
VILLAGE_TOUCH_INTERACT,互動,,
VILLAGE_TOUCH_MENU,選單,,
BLACKSMITH_SHOP_TITLE,鐵匠工坊,,
BLACKSMITH_DIALOG_1,活著回來就好。要把刀磨利，還是把弓拉順？,,
BLACKSMITH_DIALOG_2,好材料會選主人，壞裝備會害死人。,,
BLACKSMITH_DIALOG_3,村裡的爐火又熱了，想打造什麼？,,
BLACKSMITH_GOLD_FMT,持有金幣：%d,,
BLACKSMITH_BUY_SLOT_FMT,解鎖武器格 %d　%d 金幣,,
BLACKSMITH_BUY_SLOT_DONE,武器格已全部解鎖,,
BLACKSMITH_BUY_WEAPON_FMT,解鎖武器種類「%s」　%d 金幣,,
BLACKSMITH_BUY_WEAPON_DONE,武器種類已全部解鎖,,
BLACKSMITH_CRAFT_WEAPON_FMT,製作基礎武器「%s」　%s,,
BLACKSMITH_CRAFT_WEAPON_DONE_FMT,已製作武器「%s」,,
BLACKSMITH_CRAFT_ARMAMENT_FMT,製作武裝「%s」　%s — %s,,
BLACKSMITH_CRAFT_ARMAMENT_DONE_FMT,已製作「%s」,,
BLACKSMITH_BOUGHT_SLOT_FMT,已解鎖第 %d 個武器格。,,
BLACKSMITH_BOUGHT_WEAPON_FMT,已解鎖武器「%s」。,,
BLACKSMITH_CRAFTED_WEAPON_FMT,已製作武器「%s」。,,
BLACKSMITH_CRAFTED_ARMAMENT_FMT,已製作武裝「%s」。,, 
BLACKSMITH_NOT_ENOUGH_GOLD,金幣不足。,,
BLACKSMITH_NOT_ENOUGH_RESOURCES,金幣或素材不足。,,
BLACKSMITH_COST_GOLD_FMT,%d 金幣,,
BLACKSMITH_COST_MATERIAL_FMT,%s %d/%d,,
BLACKSMITH_CLOSE,離開工坊,,
MERCHANT_SHOP_TITLE,雜貨鋪,,
MERCHANT_DIALOG_1,你救我一命，之後各地素材我都幫你調貨，也收你用不完的材料。,,
MERCHANT_GOLD_FMT,持有金幣：%d,,
MERCHANT_INVENTORY_PREFIX,持有素材：,,
MERCHANT_INVENTORY_ITEM_FMT,%s %d,,
